挂牌代码,债券全称,上市日期,到期日期,票面利率,UK
122342,13包钢03,2015/2/9,2018/1/26,4.98,4022258900000116
122343,13和邦02,2015/1/5,2019/11/25,6.4,4022259f00000117
122344,13尖峰02,2014/12/11,2019/11/20,5.09,4022259f00000118
122345,12重工03,2015/2/3,2019/11/24,4.98,4022259f00000119
122346,14贵人鸟,2014/12/23,2019/12/3,6.8,402225a00000011a
122347,13太极02,2014/12/18,2019/12/3,5.25,402225a00000011b
122348,14北辰01,2015/2/10,2020/1/20,4.8,402225a10000011c
122349,14中炬02,2015/3/6,2020/1/26,5.5,402225a10000011d
122350,14盛屯债,2015/1/30,2019/12/26,7.7,402225a00000011e
122351,14北辰02,2015/2/10,2022/1/20,5.2,402225b90000011f
122352,12广汽03,2015/3/4,2020/1/19,4.7,402225a100000120
122353,14东兴债,2015/4/27,2019/4/7,4.89,4022259800000121
122354,15康美债,2015/3/6,2022/1/27,5.33,402225b900000122
122355,14齐鲁债,2015/3/3,2020/1/29,4.9,402225a100000123
122356,14富贵鸟,2015/6/2,2020/4/22,6.3,402225a400000124
122357,14浙证债,2015/3/4,2020/2/3,4.9,402225a200000125
122358,15际华03,2015/10/15,2022/9/15,4.1,402225c100000126
122360,14华融G1,2015/4/23,2018/4/10,4.9,4022258c00000127
122361,14福田债,2015/5/20,2020/3/31,5.1,402225a300000128
122362,14上实01,2015/4/16,2020/3/23,4.92,402225a300000129
122363,14太证债,2015/3/27,2018/3/9,5.28,4022258b0000012a
122364,14渝路01,2015/3/27,2020/3/16,5,402225a30000012b
122365,14昊华01,2015/4/20,2022/3/26,5.5,402225bb0000012c
122366,14武钢债,2015/7/14,2018/7/1,4.38,4022258f0000012d
122367,14财富债,2015/4/16,2020/3/31,5.13,402225a30000012e
122368,14渝路02,2015/6/2,2020/4/27,4.87,402225a40000012f
122369,13包钢04,2015/5/11,2018/4/21,4.75,4022258c00000130
122370,14华远债,2015/6/9,2020/4/27,5.24,402225a400000131
122371,14亨通01,2015/7/30,2020/6/23,5.37,402225a600000132
122372,14财通债,2015/6/23,2020/5/19,4,402225a500000133
122373,15舟港债,2015/6/4,2020/5/22,4.48,402225a500000134
122374,14招商债,2015/6/9,2025/5/26,5.08,402225e100000135
122375,14苏新债,2015/7/9,2018/5/29,4.67,4022258d00000136
122376,15首置01,2015/6/23,2020/5/27,4.58,402225a500000137
122377,14首开债,2015/7/14,2022/6/3,4.8,402225be00000138
122378,13楚天02,2015/7/6,2020/6/8,4.58,402225a600000139
122379,14西南01,2015/7/3,2018/6/10,4.1,4022258e0000013a
122380,14瀚华01,2015/7/7,2020/6/10,6.1,402225a60000013b
122381,14安源债,2015/12/11,2020/11/20,6.2,402225ab0000013c
122382,14京银债,2015/7/27,2018/6/26,4.8,4022258e0000013d
122383,15恒大01,2015/7/17,2020/6/19,5.38,402225a60000013e
122384,15中信01,2015/7/30,2020/6/25,4.6,402225a60000013f
122385,15中信02,2015/7/30,2025/6/25,5.1,402225e200000140
122386,15迪马债,2015/8/27,2020/7/10,7.49,402225a700000141
122387,15城乡01,2015/7/30,2020/6/30,4.68,402225a600000142
122388,15华泰G1,2015/7/30,2018/6/29,4.2,4022258e00000143
122390,15龙湖01,2015/8/14,2020/7/7,4.6,402225a700000144
122391,15云能投,2015/7/29,2020/7/6,4.49,402225a700000145
122392,15恒大02,2015/8/7,2019/7/8,5.3,4022259b00000146
122393,15恒大03,2015/8/7,2022/7/8,6.98,402225bf00000147
122394,15中银债,2015/8/21,2018/7/9,3.95,4022258f00000148
122395,15富力债,2015/8/25,2020/7/13,4.95,402225a700000149
122396,15时代债,2015/9/8,2020/7/10,6.75,402225a70000014a
122397,15宜华01,2015/8/18,2020/7/16,6.88,402225a70000014b
122398,15北巴债,2015/8/20,2020/7/14,4.4,402225a70000014c
122399,15中投G1,2015/9/15,2018/7/24,3.62,4022258f0000014d
122401,15远洋03,2015/9/17,2025/8/19,5,402225e40000014e
122402,15城建01,2015/10/14,2022/7/20,4.4,402225bf0000014f
122403,15天恒债,2015/8/21,2020/7/22,4.12,402225a700000150
122404,14西南02,2015/8/27,2020/7/23,3.67,402225a700000151
122405,15宜华02,2015/8/18,2020/7/23,6.88,402225a700000152
122406,15新湖债,2015/8/31,2020/7/23,5.5,402225a700000153
122407,15广证债,2015/9/10,2020/7/24,3.9,402225a700000154
122408,15美都债,2015/9/2,2018/7/27,6.5,4022258f00000155
122409,15龙湖02,2015/9/1,2020/7/27,3.93,402225a700000156
122410,15龙湖03,2015/9/1,2022/7/27,4.2,402225bf00000157
122411,14招金债,2015/9/2,2020/7/29,3.8,402225a700000158
122412,15昆药债,2015/9/8,2020/7/29,4.28,402225a700000159
122413,15精工债,2015/9/2,2020/7/29,5.2,402225a70000015a
122414,15物美01,2015/9/9,2018/8/13,4.7,402225900000015b
122415,15增碧01,2015/8/28,2018/8/3,4.2,402225900000015c
122416,15好民居,2015/9/8,2020/7/30,5.5,402225a70000015d
122417,15东旭集,2015/9/2,2020/7/30,6.2,402225a70000015e
122418,15盛和债,2015/9/15,2020/8/5,4.7,402225a80000015f
122419,15天风债,2015/9/9,2018/7/31,4.23,4022258f00000160
122420,15奥园债,2015/8/24,2018/7/30,5.8,4022258f00000161
122421,15天房债,2015/8/28,2020/8/6,5.8,402225a800000162
122422,15梅花01,2015/9/2,2020/7/31,4.47,402225a700000163
122423,15五洋债,2015/9/10,2018/8/14,7.48,4022259000000164
122424,15华业债,2015/9/8,2020/8/6,5.8,402225a800000165
122425,15际华01,2015/9/15,2020/8/7,3.6,402225a800000166
122426,15际华02,2015/9/15,2022/8/7,3.98,402225c000000167
122427,15海正01,2015/9/2,2020/8/13,3.97,402225a800000168
122428,15信投01,2015/10/14,2025/8/13,4.2,402225e400000169
122429,15海亮01,2015/9/9,2020/8/10,5.39,402225a80000016a
122430,15增碧02,2015/9/28,2018/8/12,4.2,402225900000016b
122431,15闽高速,2015/9/15,2020/8/11,3.53,402225a80000016c
122432,15融创01,2015/9/9,2020/8/14,4.5,402225a80000016d
122433,15融创02,2015/9/9,2020/8/14,5.7,402225a80000016e
122434,15清能债,2015/9/25,2020/8/18,4.55,402225a80000016f
122435,15兴发债,2015/9/18,2020/8/20,4.4,402225a800000170
122436,15远洋02,2015/9/17,2022/8/19,4.15,402225c000000171
122437,15远洋01,2015/9/17,2020/8/19,3.78,402225a800000172
122438,15祥源债,2015/9/25,2018/8/24,6.5,4022259000000173
122439,15红豆债,2015/9/30,2020/8/20,5.99,402225a800000174
122440,15龙光01,2015/9/25,2020/8/19,5,402225a800000175
122441,15赣长运,2015/9/21,2020/8/24,4.3,402225a800000176
122442,15鲁焦01,2015/10/23,2018/8/24,6.6,4022259000000177
122443,15桂金债,2015/10/14,2023/8/21,5,402225cc00000178
122444,15冠城债,2015/9/21,2020/8/26,5.1,402225a800000179
122445,15融创03,2015/9/25,2020/9/1,4.48,402225a90000017a
122446,15万达01,2015/9/25,2020/8/27,4.09,402225a80000017b
122447,15物美02,2015/10/20,2018/9/8,4.75,402225910000017c
122448,15龙光02,2015/9/25,2019/8/27,4.77,4022259c0000017d
122449,15绿城01,2015/9/29,2020/8/27,4.7,402225a80000017e
122450,15齐鲁债,2015/10/29,2020/8/28,3.8,402225a80000017f
122451,15九鼎债,2015/9/28,2020/8/31,6.03,402225a800000180
122452,15杭实01,2015/9/29,2025/9/9,4.48,402225e500000181
122453,15联发01,2015/12/8,2018/9/15,3.89,4022259100000182
122454,15五洋02,2015/11/2,2020/9/11,7.8,402225a900000183
122455,15绿城02,2015/12/22,2020/9/16,4.4,402225a900000184
122456,15绿城03,2015/12/22,2022/9/16,5.16,402225c100000185
122457,15新金债,2015/10/19,2022/9/16,4.47,402225c100000186
122458,15泛海02,2015/10/15,2021/9/14,5.1,402225b500000187
122459,15平高债,2015/11/23,2018/9/16,3.93,4022259100000188
122460,15粤路建,2016/1/8,2030/12/11,4.25,4022262400000189
122461,15杭实02,2015/10/14,2025/9/17,4.36,402225e50000018a
122462,15正奇债,2015/10/14,2018/9/16,3.98,402225910000018b
122463,15花样年,2015/10/30,2020/9/16,6.95,402225a90000018c
122464,15世茂01,2015/10/30,2020/9/18,3.9,402225a90000018d
122465,15广越01,2015/10/30,2018/9/18,3.75,402225910000018e
122466,15广越02,2015/10/30,2020/9/18,3.97,402225a90000018f
122467,15万达02,2015/11/13,2020/10/14,3.93,402225aa00000190
122468,15五矿01,2015/11/5,2020/9/21,3.88,402225a900000191
122469,15五矿02,2015/11/5,2025/9/21,4.75,402225e500000192
