期货合约,UK
fu2004,404a25a40000000c
bu2004,404a25a40000000d
ru2004,404a25a40000000e
cu2005,404a25a500000001
al2005,404a25a500000002
zn2005,404a25a500000003
pb2005,404a25a500000004
ni2005,404a25a500000005
sn2005,404a25a500000006
au2005,404a25a500000007
ag2005,404a25a500000008
rb2005,404a25a500000009
wr2005,404a25a50000000a
hc2005,404a25a50000000b
fu2005,404a25a50000000c
bu2005,404a25a50000000d
ru2005,404a25a50000000e
cu2006,404a25a600000001
al2006,404a25a600000002
zn2006,404a25a600000003
pb2006,404a25a600000004
ni2006,404a25a600000005
sn2006,404a25a600000006
au2006,404a25a600000007
ag2006,404a25a600000008
rb2006,404a25a600000009
wr2006,404a25a60000000a
hc2006,404a25a60000000b
fu2006,404a25a60000000c
bu2006,404a25a60000000d
ru2006,404a25a60000000e
cu2007,404a25a700000001
al2007,404a25a700000002
zn2007,404a25a700000003
pb2007,404a25a700000004
ni2007,404a25a700000005
sn2007,404a25a700000006
au2007,404a25a700000007
ag2007,404a25a700000008
rb2007,404a25a700000009
wr2007,404a25a70000000a
hc2007,404a25a70000000b
fu2007,404a25a70000000c
bu2007,404a25a70000000d
ru2007,404a25a70000000e
cu2008,404a25a800000001
al2008,404a25a800000002
zn2008,404a25a800000003
pb2008,404a25a800000004
ni2008,404a25a800000005
sn2008,404a25a800000006
au2008,404a25a800000007
ag2008,404a25a800000008
rb2008,404a25a800000009
wr2008,404a25a80000000a
hc2008,404a25a80000000b
fu2008,404a25a80000000c
bu2008,404a25a80000000d
ru2008,404a25a80000000e
cu2009,404a25a900000001
al2009,404a25a900000002
zn2009,404a25a900000003
pb2009,404a25a900000004
ni2009,404a25a900000005
sn2009,404a25a900000006
au2009,404a25a900000007
ag2009,404a25a900000008
rb2009,404a25a900000009
wr2009,404a25a90000000a
hc2009,404a25a90000000b
fu2009,404a25a90000000c
bu2009,404a25a90000000d
ru2009,404a25a90000000e
cu2010,404a25aa00000001
al2010,404a25aa00000002
zn2010,404a25aa00000003
pb2010,404a25aa00000004
ni2010,404a25aa00000005
sn2010,404a25aa00000006
au2010,404a25aa00000007
ag2010,404a25aa00000008
rb2010,404a25aa00000009
wr2010,404a25aa0000000a
hc2010,404a25aa0000000b
fu2010,404a25aa0000000c
bu2010,404a25aa0000000d
ru2010,404a25aa0000000e
cu2011,404a25ab00000001
al2011,404a25ab00000002
zn2011,404a25ab00000003
pb2011,404a25ab00000004
ni2011,404a25ab00000005
sn2011,404a25ab00000006
au2011,404a25ab00000007
ag2011,404a25ab00000008
rb2011,404a25ab00000009
wr2011,404a25ab0000000a
hc2011,404a25ab0000000b
fu2011,404a25ab0000000c
bu2011,404a25ab0000000d
ru2011,404a25ab0000000e
cu2012,404a25ac00000001
al2012,404a25ac00000002
zn2012,404a25ac00000003
pb2012,404a25ac00000004
ni2012,404a25ac00000005
sn2012,404a25ac00000006
au2012,404a25ac00000007
ag2012,404a25ac00000008
rb2012,404a25ac00000009
wr2012,404a25ac0000000a
hc2012,404a25ac0000000b
fu2012,404a25ac0000000c
bu2012,404a25ac0000000d
ru2012,404a25ac0000000e
cu2101,404a25ad00000001
al2101,404a25ad00000002
zn2101,404a25ad00000003
pb2101,404a25ad00000004
ni2101,404a25ad00000005
sn2101,404a25ad00000006
au2101,404a25ad00000007
ag2101,404a25ad00000008
rb2101,404a25ad00000009
wr2101,404a25ad0000000a
hc2101,404a25ad0000000b
fu2101,404a25ad0000000c
bu2101,404a25ad0000000d
ru2101,404a25ad0000000e
cu2102,404a25ae00000001
al2102,404a25ae00000002
zn2102,404a25ae00000003
pb2102,404a25ae00000004
ni2102,404a25ae00000005
sn2102,404a25ae00000006
au2102,404a25ae00000007
ag2102,404a25ae00000008
rb2102,404a25ae00000009
wr2102,404a25ae0000000a
hc2102,404a25ae0000000b
fu2102,404a25ae0000000c
bu2102,404a25ae0000000d
ru2102,404a25ae0000000e
cu2103,404a25af00000001
al2103,404a25af00000002
zn2103,404a25af00000003
pb2103,404a25af00000004
ni2103,404a25af00000005
sn2103,404a25af00000006
au2103,404a25af00000007
ag2103,404a25af00000008
rb2103,404a25af00000009
wr2103,404a25af0000000a
hc2103,404a25af0000000b
fu2103,404a25af0000000c
bu2103,404a25af0000000d
ru2103,404a25af0000000e
cu2104,404a25b000000001
al2104,404a25b000000002
zn2104,404a25b000000003
pb2104,404a25b000000004
ni2104,404a25b000000005
sn2104,404a25b000000006
au2104,404a25b000000007
ag2104,404a25b000000008
rb2104,404a25b000000009
wr2104,404a25b00000000a
hc2104,404a25b00000000b
fu2104,404a25b00000000c
bu2104,404a25b00000000d
ru2104,404a25b00000000e
cu2105,404a25b100000001
al2105,404a25b100000002
zn2105,404a25b100000003
pb2105,404a25b100000004
ni2105,404a25b100000005
sn2105,404a25b100000006
au2105,404a25b100000007
ag2105,404a25b100000008
rb2105,404a25b100000009
wr2105,404a25b10000000a
hc2105,404a25b10000000b
fu2105,404a25b10000000c
bu2105,404a25b10000000d
ru2105,404a25b10000000e
cu2106,404a25b200000001
al2106,404a25b200000002
zn2106,404a25b200000003
pb2106,404a25b200000004
ni2106,404a25b200000005
sn2106,404a25b200000006
au2106,404a25b200000007
ag2106,404a25b200000008
rb2106,404a25b200000009
wr2106,404a25b20000000a
hc2106,404a25b20000000b
fu2106,404a25b20000000c
bu2106,404a25b20000000d
ru2106,404a25b20000000e
cu2107,404a25b300000001
al2107,404a25b300000002
zn2107,404a25b300000003
pb2107,404a25b300000004
ni2107,404a25b300000005
sn2107,404a25b300000006
au2107,404a25b300000007
ag2107,404a25b300000008
rb2107,404a25b300000009
wr2107,404a25b30000000a
hc2107,404a25b30000000b
fu2107,404a25b30000000c
bu2107,404a25b30000000d
ru2107,404a25b30000000e
cu2108,404a25b400000001
al2108,404a25b400000002
zn2108,404a25b400000003
pb2108,404a25b400000004
ni2108,404a25b400000005
sn2108,404a25b400000006
au2108,404a25b400000007
ag2108,404a25b400000008
rb2108,404a25b400000009
wr2108,404a25b40000000a
hc2108,404a25b40000000b
fu2108,404a25b40000000c
bu2108,404a25b40000000d
ru2108,404a25b40000000e
cu2109,404a25b500000001
al2109,404a25b500000002
zn2109,404a25b500000003
pb2109,404a25b500000004
ni2109,404a25b500000005
sn2109,404a25b500000006
au2109,404a25b500000007
ag2109,404a25b500000008
rb2109,404a25b500000009
wr2109,404a25b50000000a
hc2109,404a25b50000000b
fu2109,404a25b50000000c
bu2109,404a25b50000000d
ru2109,404a25b50000000e
cu2110,404a25b600000001
al2110,404a25b600000002
zn2110,404a25b600000003
pb2110,404a25b600000004
ni2110,404a25b600000005
sn2110,404a25b600000006
au2110,404a25b600000007
ag2110,404a25b600000008
rb2110,404a25b600000009
wr2110,404a25b60000000a
hc2110,404a25b60000000b
fu2110,404a25b60000000c
bu2110,404a25b60000000d
ru2110,404a25b60000000e
cu2111,404a25b700000001
al2111,404a25b700000002
zn2111,404a25b700000003
pb2111,404a25b700000004
ni2111,404a25b700000005
sn2111,404a25b700000006
au2111,404a25b700000007
ag2111,404a25b700000008
rb2111,404a25b700000009
wr2111,404a25b70000000a
hc2111,404a25b70000000b
fu2111,404a25b70000000c
bu2111,404a25b70000000d
ru2111,404a25b70000000e
cu2112,404a25b800000001
al2112,404a25b800000002
zn2112,404a25b800000003
pb2112,404a25b800000004
ni2112,404a25b800000005
sn2112,404a25b800000006
au2112,404a25b800000007
ag2112,404a25b800000008
rb2112,404a25b800000009
wr2112,404a25b80000000a
hc2112,404a25b80000000b
fu2112,404a25b80000000c
bu2112,404a25b80000000d
ru2112,404a25b80000000e
cu2201,404a25b900000001
al2201,404a25b900000002
zn2201,404a25b900000003
pb2201,404a25b900000004
ni2201,404a25b900000005
sn2201,404a25b900000006
au2201,404a25b900000007
ag2201,404a25b900000008
rb2201,404a25b900000009
wr2201,404a25b90000000a
hc2201,404a25b90000000b
fu2201,404a25b90000000c
bu2201,404a25b90000000d
ru2201,404a25b90000000e
cu2202,404a25ba00000001
al2202,404a25ba00000002
zn2202,404a25ba00000003
pb2202,404a25ba00000004
ni2202,404a25ba00000005
sn2202,404a25ba00000006
au2202,404a25ba00000007
ag2202,404a25ba00000008
rb2202,404a25ba00000009
