地方债简称,地方债代码,到期日,UK
河北1502,109207,2020/6/11,401255a600000156
河北1503,109208,2022/6/11,401255be00000157
河北1504,109209,2025/6/11,401255e200000158
吉林1501,109210,2018/6/12,4.0126E+165
吉林1502,109211,2020/6/12,401255a60000015a
吉林1503,109212,2022/6/12,401255be0000015b
吉林1504,109213,2025/6/12,401255e20000015c
山西1501,109214,2018/6/15,4012558e0000015d
山西1502,109215,2020/6/15,401255a60000015e
山西1503,109216,2022/6/15,401255be0000015f
山西1504,109217,2025/6/15,401255e200000160
广东1501,109218,2018/6/15,4.0126E+167
广东1502,109219,2020/6/15,401255a600000162
广东1503,109220,2022/6/15,401255be00000163
广东1504,109221,2025/6/15,401255e200000164
江西1501,109222,2018/6/16,4.0126E+171
江西1502,109223,2020/6/16,401255a600000166
江西1503,109224,2022/6/16,401255be00000167
江西1504,109225,2025/6/16,401255e200000168
宁夏1501,109226,2018/6/16,4.0126E+175
宁夏1502,109227,2020/6/16,401255a60000016a
宁夏1503,109228,2022/6/16,401255be0000016b
宁夏1504,109229,2025/6/16,401255e20000016c
新疆1505,109230,2018/6/17,4012558e0000016d
新疆1506,109231,2020/6/17,401255a60000016e
新疆1507,109232,2022/6/17,401255be0000016f
新疆1508,109233,2025/6/17,401255e200000170
四川1501,109234,2018/6/17,4.0126E+177
四川1502,109235,2020/6/17,401255a600000172
四川1503,109236,2022/6/17,401255be00000173
四川1504,109237,2025/6/17,401255e200000174
河北15Z1,109238,2018/6/12,4.0126E+181
河北15Z2,109239,2020/6/12,401255a600000176
河北15Z3,109240,2022/6/12,401255be00000177
河南1501,109241,2018/6/19,4.0126E+184
河南1502,109242,2020/6/19,401255a600000179
河南1503,109243,2022/6/19,401255be0000017a
河南1504,109244,2025/6/19,401255e20000017b
辽宁1501,109245,2018/6/23,4012558e0000017c
辽宁1502,109246,2020/6/23,401255a60000017d
辽宁1503,109247,2022/6/23,401255be0000017e
辽宁1504,109248,2025/6/23,401255e20000017f
云南1501,109249,2018/6/23,4.0126E+186
云南1502,109250,2020/6/23,401255a600000181
云南1503,109251,2022/6/23,401255be00000182
云南1504,109252,2025/6/23,401255e200000183
海南1501,109253,2018/6/24,4.0126E+190
海南1502,109254,2020/6/24,401255a600000185
海南1503,109255,2022/6/24,401255be00000186
海南1504,109256,2025/6/24,401255e200000187
青岛1501,109257,2018/6/24,4.0126E+194
青岛1502,109258,2020/6/24,401255a600000189
青岛1503,109259,2022/6/24,401255be0000018a
青岛1504,109260,2025/6/24,401255e20000018b
江苏15Z1,109261,2020/6/26,401255a60000018c
江苏15Z2,109262,2022/6/26,401255be0000018d
江苏15Z3,109263,2025/6/26,401255e20000018e
山东1505,109264,2018/6/29,4012558e0000018f
山东1506,109265,2020/6/29,401255a600000190
山东1507,109266,2022/6/29,401255be00000191
山东1508,109267,2025/6/29,401255e200000192
陕西1501,109268,2018/6/30,4.0126E+199
陕西1502,109269,2020/6/30,401255a600000194
陕西1503,109270,2022/6/30,401255be00000195
陕西1504,109271,2025/6/30,401255e200000196
大连1501,109272,2018/7/3,4012558f00000197
大连1502,109273,2020/7/3,401255a700000198
大连1503,109274,2022/7/3,401255bf00000199
大连1504,109275,2025/7/3,401255e30000019a
大连15Z1,109276,2018/7/3,4012558f0000019b
大连15Z2,109277,2020/7/3,401255a70000019c
大连15Z3,109278,2022/7/3,401255bf0000019d
大连15Z4,109279,2025/7/3,401255e30000019e
贵州1505,109280,2018/7/6,4012558f0000019f
贵州1506,109281,2020/7/6,401255a7000001a0
贵州1507,109282,2022/7/6,401255bf000001a1
贵州1508,109283,2025/7/6,401255e3000001a2
内蒙1501,109284,2018/7/6,4012558f000001a3
内蒙1502,109285,2020/7/6,401255a7000001a4
内蒙1503,109286,2022/7/6,401255bf000001a5
内蒙1504,109287,2025/7/6,401255e3000001a6
新疆15Z1,109288,2018/7/7,4012558f000001a7
新疆15Z2,109289,2020/7/7,401255a7000001a8
新疆15Z3,109290,2022/7/7,401255bf000001a9
新疆15Z4,109291,2025/7/7,401255e3000001aa
四川1505,109292,2018/7/8,4012558f000001ab
四川1506,109293,2020/7/8,401255a7000001ac
四川1507,109294,2022/7/8,401255bf000001ad
四川1508,109295,2025/7/8,401255e3000001ae
北京1501,109296,2018/7/8,4012558f000001af
北京1502,109297,2020/7/8,401255a7000001b0
北京1503,109298,2022/7/8,401255bf000001b1
北京1504,109299,2025/7/8,401255e3000001b2
甘肃1501,109300,2018/7/10,4012558f000001b3
甘肃1502,109301,2020/7/10,401255a7000001b4
甘肃1503,109302,2022/7/10,401255bf000001b5
甘肃1504,109303,2025/7/10,401255e3000001b6
青海1501,109304,2018/7/13,4012558f000001b7
青海1502,109305,2020/7/13,401255a7000001b8
青海1503,109306,2022/7/13,401255bf000001b9
青海1504,109307,2025/7/13,401255e3000001ba
广东15Z1,109308,2020/7/14,401255a7000001bb
广东15Z2,109309,2022/7/14,401255bf000001bc
广东15Z3,109310,2025/7/14,401255e3000001bd
宁波1501,109311,2018/7/13,4012558f000001be
宁波1502,109312,2020/7/13,401255a7000001bf
宁波1503,109313,2022/7/13,401255bf000001c0
宁波1504,109314,2025/7/13,401255e3000001c1
宁波15Z1,109315,2018/7/13,4012558f000001c2
宁波15Z2,109316,2020/7/13,401255a7000001c3
宁波15Z3,109317,2022/7/13,401255bf000001c4
宁波15Z4,109318,2025/7/13,401255e3000001c5
福建1501,109319,2018/7/15,4012558f000001c6
福建1502,109320,2020/7/15,401255a7000001c7
福建1503,109321,2022/7/15,401255bf000001c8
福建1504,109322,2025/7/15,401255e3000001c9
湖南1501,109323,2018/7/17,4012558f000001ca
湖南1502,109324,2020/7/17,401255a7000001cb
湖南1503,109325,2022/7/17,401255bf000001cc
湖南1504,109326,2025/7/17,401255e3000001cd
广西15Z1,109327,2020/7/20,401255a7000001ce
广西15Z2,109328,2022/7/20,401255bf000001cf
广西1505,109329,2018/7/20,4012558f000001d0
广西1506,109330,2020/7/20,401255a7000001d1
广西1507,109331,2022/7/20,401255bf000001d2
广西1508,109332,2025/7/20,401255e3000001d3
湖北15Z1,109333,2018/7/20,4012558f000001d4
湖北15Z2,109334,2020/7/20,401255a7000001d5
湖北15Z3,109335,2022/7/20,401255bf000001d6
湖北15Z4,109336,2025/7/20,401255e3000001d7
湖北1509,109337,2018/7/20,4012558f000001d8
湖北1510,109338,2020/7/20,401255a7000001d9
湖北1511,109339,2022/7/20,401255bf000001da
湖北1512,109340,2025/7/20,401255e3000001db
广东1505,109341,2018/7/22,4012558f000001dc
广东1506,109342,2020/7/22,401255a7000001dd
广东1507,109343,2022/7/22,401255bf000001de
广东1508,109344,2025/7/22,401255e3000001df
山东15Z1,109345,2020/7/27,401255a7000001e0
山东15Z2,109346,2022/7/27,401255bf000001e1
山东15Z3,109347,2025/7/27,401255e3000001e2
福建15Z1,109348,2020/7/27,401255a7000001e3
福建15Z2,109349,2025/7/27,401255e3000001e4
福建1505,109350,2018/7/27,4012558f000001e5
福建1506,109351,2020/7/27,401255a7000001e6
福建1507,109352,2022/7/27,401255bf000001e7
福建1508,109353,2025/7/27,401255e3000001e8
