企业债简称,企业债代码,到期日,UK
15花样02,112309,2020/12/30,401225ac0000010e
16美的债,112310,2019/1/5,401225950000010f
16昆仑01,112311,2019/1/8,4012259500000110
16徐工01,112312,2021/1/11,401225ad00000111
16铁汉01,112313,2021/1/13,401225ad00000112
16华南01,112314,2019/1/14,4012259500000113
16宝龙债,112315,2021/1/18,401225ad00000114
16航空债,112316,2021/1/18,401225ad00000115
16太安01,112317,2021/1/19,401225ad00000116
16白药01,112318,2021/1/19,401225ad00000117
16一创01,112319,2020/1/19,401225a100000118
16蓝标债,112320,2021/1/19,401225ad00000119
16龙基01,112321,2021/1/20,401225ad0000011a
16涪陵01,112322,2021/1/20,401225ad0000011b
16投资01,112323,2024/1/21,401225d10000011c
16高鸿债,112324,2021/1/21,401225ad0000011d
16中南01,112325,2021/1/22,401225ad0000011e
16中弘01,112326,2021/1/25,401225ad0000011f
16曲文01,112328,2019/1/27,4012259500000120
16太安02,112329,2021/1/28,401225ad00000121
16巨轮01,112330,2021/1/28,401225ad00000122
16宝德01,112331,2021/1/28,401225ad00000123
16劲嘉01,112332,2021/2/1,401225ae00000124
16鲁焦01,112333,2019/1/29,4012259500000125
16国购01,112334,2021/2/1,401225ae00000126
16海资01,112335,2021/2/2,401225ae00000127
16太安债,112336,2021/2/2,401225ae00000128
16双星01,112337,2019/2/25,4012259600000129
16迪科01,112338,2019/3/1,401225970000012a
16中航城,112339,2021/3/1,401225af0000012b
16泛控01,112340,2021/3/7,401225af0000012c
16宝龙02,112341,2021/3/7,401225af0000012d
16厦贸01,112342,2021/3/9,401225af0000012e
16魏桥01,112343,2021/3/10,401225af0000012f
16魏桥02,112344,2021/3/10,401225af00000130
16劲嘉02,112345,2021/3/11,401225af00000131
16惠誉01,112346,2021/3/14,401225af00000132
16惠誉02,112347,2021/3/14,401225af00000133
16华美01,112348,2019/3/14,4012259700000134
16红楼债,112349,2021/3/15,401225af00000135
16软控01,112350,2021/3/16,401225af00000136
16步高01,112351,2021/3/16,401225af00000137
16TCL01,112352,2019/3/16,4012259700000138
16TCL02,112353,2021/3/16,401225af00000139
16国购02,112354,2021/3/17,401225af0000013a
16桂资01,112355,2023/3/17,401225c70000013b
16海资02,112357,2021/3/22,401225af0000013c
16BOE01,112358,2021/3/21,401225af0000013d
16魏桥03,112359,2021/3/22,401225af0000013e
16新大02,112361,2019/3/22,401225970000013f
16泛控02,112362,2021/3/23,401225af00000140
16三湘债,112363,2019/3/23,4012259700000141
16云白01,112364,2021/4/8,401225b000000142
16广业01,112365,2023/3/25,401225c700000143
16宝安01,112366,2021/3/28,401225af00000144
16华西01,112367,2021/3/28,401225af00000145
16峨旅01,112369,2021/3/30,401225af00000146
16新纶债,112370,2021/3/30,401225af00000147
16太阳01,112371,2019/3/31,4012259700000148
16棕榈01,112372,2021/4/1,401225b000000149
16奥瑞金,112373,2021/4/11,401225b00000014a
16昆投01,112375,2021/4/11,401225b00000014b
16侨城01,112376,2021/4/13,401225b00000014c
16侨城02,112377,2023/4/13,401225c80000014d
16盛润债,112378,2021/4/12,401225b00000014e
16新国都,112379,2019/4/15,401225980000014f
16东林01,112380,2021/4/19,401225b000000150
16华联债,112381,2019/5/30,4012259900000151
16南都01,112382,2021/4/20,401225b000000152
16当代债,112383,2021/4/20,401225b000000153
16歌尔01,112384,2021/4/20,401225b000000154
16奥燃01,112385,2021/5/3,401225b100000155
16申宏01,112386,2021/4/26,401225b000000156
16华南02,112387,2019/5/3,4012259900000157
16聚龙债,112388,2021/5/11,401225b100000158
16华西02,112389,2021/5/16,401225b100000159
16三聚债,112390,2021/5/17,401225b10000015a
16掌趣01,112392,2021/5/25,401225b10000015b
16万维01,112393,2019/5/23,401225990000015c
16泰禾02,112394,2021/5/25,401225b10000015d
16泰禾03,112395,2021/5/25,401225b10000015e
16胜通01,112397,2021/5/30,401225b10000015f
16凯迪债,112399,2021/6/2,401225b200000160
16中南债,112400,2020/6/13,401225a600000161
16华股01,112402,2021/6/1,401225b200000162
16农四01,112403,2023/6/8,401225ca00000163
16以岭EB,120001,2021/4/17,401225b000000164
蓝标转债,123001,2021/12/17,401225b800000165
海印转债,127003,2022/6/7,401225be00000166
歌尔转债,128009,2020/12/11,401225ac00000167
顺昌转债,128010,2022/1/21,401225b900000168
汽模转债,128011,2022/3/1,401225bb00000169
辉丰转债,128012,2022/4/20,401225bc0000016a
