期货名称,交易代码,合约编码,uk编码
中国信达资产管理股份有限公司,CDA,CDA1611,410a157b0000001f
中国宏桥集团有限公司,CHQ,CHQ1611,410a157b00000020
华南城控股有限公司,CTY,CTY1611,410a157b00000021
中国中车股份有限公司,CRR,CRR1611,410a157b00000022
中国广核电力股份有限公司,CGN,CGN1611,410a157b00000023
中国中煤能源股份有限公司,CCE,CCE1611,410a157b00000024
融创中国控股有限公司,SUN,SUN1611,410a157b00000025
中国民生银行股份有限公司,MSB,MSB1611,410a157b00000026
广州汽车集团股份有限公司,GAC,GAC1611,410a157b00000027
长城汽车股份有限公司,GWM,GWM1611,410a157b00000028
中国航空科技工业股份有限公司,AVI,AVI1611,410a157b00000029
CSOP富时中国A50 ETF,CSA,CSA1611,410a157b0000002a
iShares 安硕富时 A50 中国指數ETF,A50,A501611,410a157b0000002b
中海油田服务股份有限公司,CHO,CHO1611,410a157b0000002c
紫金矿业集团股份有限公司,ZJM,ZJM1611,410a157b0000002d
华夏沪深300指数ETF,AMC,AMC1611,410a157b0000002e
恒大地产集团有限公司,EVG,EVG1611,410a157b0000002f
金山软件有限公司,KSO,KSO1611,410a157b00000030
中信证券股份有限公司,CTS,CTS1611,410a157b00000031
海通证券股份有限公司,HAI,HAI1611,410a157b00000032
中国辉山乳业控股有限公司,HUD,HUD1611,410a157b00000033
华泰证券股份有限公司,HTS,HTS1611,410a157b00000034
长江和记实业有限公司,CKH,CKH1611,410a157b00000035
中电控股有限公司,CLP,CLP1611,410a157b00000036
香港中华煤气有限公司,HKG,HKG1611,410a157b00000037
九龙仓集团有限公司,WHL,WHL1611,410a157b00000038
汇丰控股有限公司,HKB,HKB1611,410a157b00000039
电能实业有限公司,HEH,HEH1611,410a157b0000003a
恒生银行有限公司,HSB,HSB1611,410a157b0000003b
恒基兆业地产有限公司,HLD,HLD1611,410a157b0000003c
新鸿基地产发展有限公司,SHK,SHK1611,410a157b0000003d
新世界发展有限公司,NWD,NWD1611,410a157b0000003e
太古股份有限公司'A',SWA,SWA1611,410a157b0000003f
东亚银行有限公司,BEA,BEA1611,410a157b00000040
香港铁路有限公司,MTR,MTR1611,410a157b00000041
中国中信股份有限公司,CIT,CIT1611,410a157b00000042
国泰航空有限公司,CPA,CPA1611,410a157b00000043
思捷环球控股有限公司,ESP,ESP1611,410a157b00000044
中国石油化工股份有限公司,CPC,CPC1611,410a157b00000045
香港交易及结算所有限公司,HEX,HEX1611,410a157b00000046
利丰有限公司,LIF,LIF1611,410a157b00000047
中国电信股份有限公司,CTC,CTC1611,410a157b00000048
中国联合网络通信（香港）股份有限公司,CHU,CHU1611,410a157b00000049
中国石油天然气股份有限公司,PEC,PEC1611,410a157b0000004a
广州白云山医药集团股份有限公司,BAI,BAI1611,410a157b0000004b
中国海洋石油有限公司,CNC,CNC1611,410a157b0000004c
华能国际电力股份有限公司,HNP,HNP1611,410a157b0000004d
中国建设银行股份有限公司,CCB,CCB1611,410a157b0000004e
中国移动有限公司,CHT,CHT1611,410a157b0000004f
中国工商银行股份有限公司,ICB,ICB1611,410a157b00000050
中国交通建设股份有限公司,CCC,CCC1611,410a157b00000051
富智康集团有限公司,FIH,FIH1611,410a157b00000052
中国平安保险(集团)股份有限公司,PAI,PAI1611,410a157b00000053
中国人民财产保险股份有限公司,PIC,PIC1611,410a157b00000054
中银香港(控股)有限公司,BOC,BOC1611,410a157b00000055
中国铝业股份有限公司,ALC,ALC1611,410a157b00000056
中国人寿保险股份有限公司,CLI,CLI1611,410a157b00000057
交通银行股份有限公司,BCM,BCM1611,410a157b00000058
招商银行股份有限公司,CMB,CMB1611,410a157b00000059
中国银行股份有限公司,BCL,BCL1611,410a157b0000005a
美元兑人民币（香港期货）,CUS,CUS1611,410a157b0000005b
欧元兑人民币（香港）期货,CEU,CEU1611,410a157b0000005c
日圆对人民币（香港）期货,CJP,CJP1611,410a157b0000005d
澳元兑人民币（香港）期货,CAU,CAU1611,410a157b0000005e
人民币（香港）兑美元期货,UCN,UCN1611,410a157b0000005f
一个月港元利率期货,HB1,HB11611,410a157b00000060
三个月港元利率期货,HB3,HB31611,410a157b00000061
恒生指数期货,HIS,HIS1612,410a157c00000001
H股指数期货,HHI,HHI1612,410a157c00000002
小型恒生指数期货,MHI,MHI1612,410a157c00000003
恒生股息期货,DHS,DHS1612,410a157c00000004
恒生国企股息期货,DHH,DHH1612,410a157c00000005
恒指波幅指数期货,VHS,VHS1612,410a157c00000006
中华交易服务中国120指数期货,CHH,CHH1612,410a157c00000007
IBOVESPA期货,IBOVESPA,IBOVESPA1612,410a157c00000008
