uk,股票代码,uk(16进制)
002096.SZ,南岭民爆,4011100000001313
002097.SZ,山河智能,4011100000001312
002098.SZ,浔兴股份,4011100000001314
002099.SZ,海翔药业,4011100000001310
002100.SZ,天康生物,4011100000001311
002101.SZ,广东鸿图,401110000000130f
002102.SZ,冠福股份,401110000000130e
002103.SZ,广博股份,4011100000001325
002104.SZ,恒宝股份,401110000000132c
002105.SZ,信隆实业,4011100000001326
002106.SZ,莱宝高科,4011100000001343
002107.SZ,沃华医药,4011100000001353
002108.SZ,沧州明珠,4011100000001342
002109.SZ,*ST兴化,4011100000001346
002110.SZ,三钢闽光,401110000000132d
002111.SZ,威海广泰,4011100000001354
002112.SZ,三变科技,401110000000136c
002113.SZ,天润控股,401110000000137f
002114.SZ,罗平锌电,4011100000001379
002115.SZ,三维通信,401110000000137a
002116.SZ,中国海诚,401110000000138a
002117.SZ,东港股份,401110000000138b
002118.SZ,紫鑫药业,401110000000141b
002119.SZ,康强电子,4011100000001427
002120.SZ,新海股份,401110000000137e
002121.SZ,科陆电子,401110000000136b
002122.SZ,天马股份,401110000000144f
002123.SZ,荣信股份,4011100000001441
002124.SZ,天邦股份,4011100000001433
002125.SZ,湘潭电化,4011100000001447
002126.SZ,银轮股份,401110000000147d
002127.SZ,南极电商,401110000000149e
002128.SZ,露天煤业,40111000000014c5
002129.SZ,中环股份,4011100000001490
002130.SZ,沃尔核材,401110000000148f
002131.SZ,利欧股份,401110000000149f
002132.SZ,恒星科技,40111000000014a5
002133.SZ,广宇集团,40111000000014bf
002134.SZ,天津普林,40111000000014b4
002135.SZ,东南网架,40111000000014b5
002136.SZ,安 纳 达,40111000000014be
002137.SZ,麦达数字,4011100000001569
002138.SZ,顺络电子,401110000000156b
002139.SZ,拓邦股份,40111000000014ed
002140.SZ,东华科技,40111000000015a8
002141.SZ,蓉胜超微,4011100000001629
002142.SZ,宁波银行,4011100000001634
002143.SZ,印纪传媒,4011100000001622
002144.SZ,宏达高科,4011100000001621
002145.SZ,中核钛白,401110000000168d
002146.SZ,荣盛发展,4011100000001645
002147.SZ,方圆支承,401110000000165a
002148.SZ,北纬通信,4011100000001647
002149.SZ,西部材料,401110000000164d
002150.SZ,通润装备,401110000000164b
002151.SZ,北斗星通,4011100000001666
002152.SZ,广电运通,401110000000164c
002153.SZ,石基信息,401110000000163a
002154.SZ,报 喜 鸟,401110000000177d
002155.SZ,湖南黄金,4011100000001665
002156.SZ,通富微电,4011100000001667
002157.SZ,正邦科技,401110000000165b
002158.SZ,汉钟精机,401110000000168f
002159.SZ,三特索道,4011100000001646
002160.SZ,常铝股份,401110000000177a
002161.SZ,远 望 谷,401110000000177b
002162.SZ,悦心健康,4011100000001783
002163.SZ,中航三鑫,4011100000001784
002164.SZ,宁波东力,4011100000001782
002165.SZ,红 宝 丽,401110000000179e
002166.SZ,莱茵生物,40111000000017a0
002167.SZ,东方锆业,401110000000178d
002168.SZ,深圳惠程,4011100000001690
002169.SZ,智光电气,4011100000001785
002170.SZ,芭田股份,4011100000001592
002171.SZ,楚江新材,401110000000178f
002172.SZ,澳洋科技,40111000000017cf
002173.SZ,千足珍珠,40111000000017e3
002174.SZ,游族网络,40111000000017d7
002175.SZ,东方网络,401110000000178e
002176.SZ,江特电机,40111000000017fb
002177.SZ,御银股份,4011100000001808
002178.SZ,延华智能,401110000000182a
002179.SZ,中航光电,4011100000001807
002180.SZ,艾派克,4011100000001822
002181.SZ,粤 传 媒,4011100000000440
002182.SZ,云海金属,4011100000001839
002183.SZ,怡 亚 通,4011100000001834
002184.SZ,海得控制,401110000000183a
002185.SZ,华天科技,4011100000001835
002186.SZ,全 聚 德,401110000000186e
002187.SZ,广百股份,401110000000185b
002188.SZ,巴士在线,401110000000185a
002189.SZ,利达光电,4011100000001858
002190.SZ,成飞集成,40111000000018bd
002191.SZ,劲嘉股份,40111000000018be
002192.SZ,融捷股份,401110000000179f
002193.SZ,山东如意,401110000000188d
002194.SZ,武汉凡谷,40111000000018c0
002195.SZ,二三四五,40111000000018c1
002196.SZ,方正电机,4011100000001889
002197.SZ,证通电子,40111000000018e6
002198.SZ,嘉应制药,40111000000018db
002199.SZ,东晶电子,40111000000018d2
002200.SZ,云投生态,40111000000018d1
002201.SZ,九鼎新材,40111000000018f8
002202.SZ,金风科技,401110000000190b
002203.SZ,海亮股份,4011100000001904
002204.SZ,大连重工,4011100000001920
002205.SZ,国统股份,401110000000192e
002206.SZ,海 利 得,401110000000194e
002207.SZ,准油股份,4011100000001947
002208.SZ,合肥城建,401110000000188c
002209.SZ,达 意 隆,4011100000001957
002210.SZ,飞马国际,401110000000196f
002211.SZ,宏达新材,4011100000001986
